Estacion,Lluvia,Tmax,Tmin
100633,-,-,-
100641,-,-,-
100643,-,-,-
100649,-,-,-
100651,-,-,-
100653,-,-,-
100655,-,-,-
200002,x,x,x
200007,x,x,x
200009,x,x,x
69633,-,x,x
69647,-,-,-
69677,x,-,-
69679,-,-,-
69681,-,x,x
69699,-,x,x
69701,-,-,-
69709,-,-,-
69711,-,-,-
69713,-,-,-
69715,-,-,-
69717,-,-,-
69719,x,x,x
69721,-,-,-
69723,-,-,-
69725,x,x,x
69727,x,x,x
69729,-,-,-
69731,-,x,x
69735,-,-,-
69737,-,27.8(28.9),20.2(20.5)
69739,x,x,x
69743,-,-,-
69747,-,-,-
69749,x,-,-
71015,-,x,x
71023,x,x,x
72149,-,-,-
72153,-,-,-
72157,-,x,x
72159,-,-,-
72163,-,-,-
72165,x,x,x
72167,-,-,-
72177,x,x,x
72179,x,34.0(89.4),21.4(18.4)
72181,-,-,-
72183,-,-,-
72185,-,-,-
72187,-,x,x
72189,x,x,x
72191,-,-,-
72193,,,
72195,x,-,19.9(0.0)
73123,-,-,-
73129,-,-,-
73137,-,-,-
73141,-,-,-
73143,x,-,-
73145,-,-,-
73147,x,-,-
73149,-,-,-
73151,-,-,-
73153,-,x,x
73155,-,-,-
73157,x,x,x
73159,-,-,-
73161,x,x,x
73163,x,x,x
73167,-,-,-
73169,-,-,-
73171,-,-,-
74051,-,-,-
74053,-,-,-
74061,x,x,x
74063,-,-,-
74067,-,-,-
74069,x,x,x
74071,-,-,-
74073,-,x,x
74075,-,-,-
74077,-,35.1(35.2),-
74081,-,-,-
74083,x,x,x
76055,-,-,-
76059,-,-,-
76061,-,-,-
76063,-,-,15.3(8.8)
76067,-,29.9(30.2),-
78027,x,x,x
78031,x,x,x
78033,x,-,-
78035,-,-,-
80013,x,x,x
81005,-,-,-
82011,-,-,-
82013,x,x,x
82015,-,-,-
82017,-,33.1(34.4),-
82019,-,x,x
83007,x,x,x
84139,-,x,x
84141,-,-,-
84181,-,-,15.9(16.1)
84185,-,-,-
84187,-,-,-
84189,-,-,-
84191,x,-,-
84193,x,x,x
84197,-,-,-
84199,-,-,-
84203,-,x,x
84207,-,-,-
84209,-,-,-
84213,-,-,-
84215,-,-,-
84217,-,-,-
84219,-,-,-
84225,x,x,x
84231,x,x,x
84239,-,-,-
84241,-,-,-
84243,-,-,-
84247,x,x,x
84249,-,-,-
84251,-,-,-
84283,x,x,x
84285,-,x,x
84291,x,x,x
84295,x,x,x
85021,x,-,-
85023,x,x,x
85025,-,x,x
85027,x,x,x
86013,-,-,-
87013,-,x,x
88035,x,x,x
88047,-,-,-
88049,-,-,-
88051,-,-,-
88055,-,-,-
90015,-,-,-
94013,-,-,6.7(7.0)
94015,-,-,-
94019,x,x,x
96003,x,-,-
98075,-,-,-
98087,-,-,-
98091,-,-,-
98095,-,-,-
98097,-,-,-
98105,x,x,x
98107,-,-,-
98109,-,-,-
